 , error+rate,misclassification+rate,positive+predictive+value,false+discovery+rate,precision-recall,area+under+curve,area+under+the+curve,receiver+operating+characteristic,auc+AND+roc,auc+AND+precision+AND+recall,f-measure,f1-measure,f-score,f1-score,f-measure+OR+f1-measure,f-measure+OR+f-score,f-measure+OR+f1-score,f1-measure+OR+f-score,f1-measure+OR+f1-score,f-score+OR+f1-score,f-measure+OR+f1-measure+OR+f-score,f-measure+OR+f1-measure+OR+f1-score,f-measure+OR+f-score+OR+f1-score,f1-measure+OR+f-score+OR+f1-score,f-measure+OR+f1-measure+OR+f-score+OR+f1-score
1980 , 2410,29,40,0,9,132,1230,112,39,12,65,3,125,7,68,189,72,128,10,132,192,75,196,135,199
1981 , 2740,43,102,2,6,159,1300,128,45,12,53,0,126,7,53,179,60,126,7,133,179,60,186,133,186
1982 , 2960,49,117,2,17,133,1370,169,53,12,62,0,135,12,62,197,74,135,12,147,197,74,209,147,209
1983 , 3070,53,244,1,10,171,1420,182,57,7,62,0,129,3,62,191,65,129,3,132,191,65,194,132,194
1984 , 3170,58,324,4,13,173,1680,192,52,13,50,1,134,7,51,183,57,135,8,141,184,58,190,142,191
1985 , 3470,64,473,2,13,198,1660,241,44,26,66,2,138,4,68,204,70,140,6,142,206,72,208,144,210
1986 , 3780,115,637,1,16,237,1930,269,61,14,55,1,131,5,56,186,60,132,6,136,187,61,191,137,192
1987 , 4040,95,750,1,15,230,2130,286,47,25,57,1,120,9,58,177,65,121,10,129,178,66,185,130,186
1988 , 4870,105,967,9,44,211,2220,389,71,20,66,9,123,7,74,189,73,132,16,130,197,81,196,139,204
1989 , 5310,140,1290,5,40,267,2390,454,78,29,76,2,163,11,78,238,87,165,13,173,240,89,248,175,250
1990 , 5710,150,1480,1,50,251,2750,554,68,23,99,3,122,18,101,231,117,136,21,151,233,119,249,154,251
1991 , 6210,174,1650,7,66,280,2900,637,119,34,81,3,146,10,84,225,90,149,13,155,228,93,233,158,236
1992 , 7250,174,1890,3,69,333,3190,651,106,32,123,5,170,18,128,293,141,174,22,188,297,145,311,191,314
